Ruturaj Gaikwad,Batter,9
MS Dhoni,Wicketkeeper_Batter,7
Ravindra Jadeja,All_Rounder,8.5
Sam Curran,All_Rounder,7
Devon Conway,Batter,7.5
Matheesha Pathirana,Bowler,8.5
Ravichandran Ashwin,Bowler,7.5
Noor Ahmad,Bowler,8.5
Khaleel Ahmed,Bowler,7.5
Nathan Ellis,Bowler,7
Shivam Dube,Batter,8
Deepak Hooda,Batter,6.5
Rahul Tripathi,Batter,7.5
Rachin Ravindra,All_Rounder,8
Vijay Shankar,All_Rounder,6.5
Jamie Overton,All_Rounder,6.5
Shaik Rasheed,Batter,5
Shreyas Gopal,Bowler,6.5
Mukesh Choudhary,Bowler,6.5
Anshul Kamboj,Bowler,6
Ramakrishna Ghosh,All_Rounder,5.5
Andre Siddarth,Batter,5.5
Vansh Bedi,Batter,5
Kamlesh Nagarkoti,Bowler,6
Ayush Mhatre,Batter,
Kamlesh Nagarkoti,Bowler,
