Rashid Khan,Bowler,9
Shubman Gill,Batter,9
Sai Sudharsan,Batter,8.5
Rahul Tewatia,All_Rounder,7
Shahrukh Khan,Batter,7.5
Kagiso Rabada,Bowler,8.5
Jos Buttler,Wicketkeeper_Batter,9
Mohammad Siraj,Bowler,8
Prasidh Krishna,Bowler,7.5
Nishant Sindhu,All_Rounder,6
Mahipal Lomror,All_Rounder,6.5
Kumar Kushagra,Wicketkeeper_Batter,5.5
Anuj Rawat,Wicketkeeper_Batter,6.5
Manav Suthar,Bowler,6
Washington Sundar,All_Rounder,7
Gerald Coetzee,Bowler,7
Arshad Khan,All_Rounder,6
Gurnoor Brar,Bowler,5.5
Sherfane Rutherford,Batter,7.5
Ravisrinivasan Sai Kishore,Bowler,7.5
Ishant Sharma,Bowler,7
Jayant Yadav,Bowler,6.5
Karim Janat,All_Rounder,6
Kulwant Khejroliya,Bowler,6
Dasun Shanaka,Batter,
