Heinrich Klaasen,Wicketkeeper_Batter,9
Pat Cummins,Bowler,8
Abhishek Sharma,All_Rounder,8.5
Travis Head,Batter,9
Nitish Kumar Reddy,All_Rounder,8
Mohammad Shami,Bowler,8.5
Harshal Patel,All_Rounder,8
Ishan Kishan,Wicketkeeper_Batter,8.5
Rahul Chahar,Bowler,6.5
Atharva Taide,Batter,6
Abhinav Manohar,Batter,6
Simarjeet Singh,Bowler,6.5
Zeeshan Ansari,Bowler,6
Jaydev Unadkat,Bowler,7
Wiaan Mulder,All_Rounder,7
Kamindu Mendis,All_Rounder,7
Aniket Verma,Batter,6.5
Eshan Malinga,Bowler,6
Sachin Baby,Batter,5.5
Smaran Ravichandran,Batter,
