Rinku Singh,Batter,7.5
Varun Chakaravarthy,Bowler,9
Sunil Narine ,All_Rounder,9
Andre Russell,All_Rounder,8
Harshit Rana,Bowler,8
Ramandeep Singh,All_Rounder,6
Venkatesh Iyer,All_Rounder,8
Quinton de Kock,Wicketkeeper_Batter,8.5
Rahmanullah Gurbaz ,Wicketkeeper_Batter,7
Anrich Nortje,Bowler,7.5
Angkrish Raghuvanshi,Batter,6.5
Vaibhav Arora,Bowler,6.5
Mayank Markande,Bowler,6
Rovman Powell ,Batter,7
Manish Pandey,Batter,7
Spencer Johnson ,Bowler,6.5
Luvnith Sisodia,Wicketkeeper_Batter,5.5
Ajinkya Rahane,Batter,7.5
Anukul Roy,All_Rounder,6
Moeen Ali ,All_Rounder,7
Chetan Sakariya,Bowler,6
