Nicholas Pooran,Wicketkeeper_Batter,9
Ravi Bishnoi,Bowler,8
Mayank Yadav,Bowler,7
Ayush Badoni,Batter,7
Shardul Thakur,All_Rounder,7.5
Rishabh Pant,Wicketkeeper_Batter,8.5
David Miller,Batter,8
Mitchell Marsh,Batter,8.5
Aiden Markram,Batter,8
Avesh Khan,Bowler,8
Abdul Samad,Batter,6.5
Aryan Juyal,Wicketkeeper_Batter,5.5
Akash Deep,Bowler,7
Himmat Singh,Batter,5.5
Manimaran Siddharth,Bowler,6
Digvesh Singh Rathi,Bowler,6
Shahbaz Ahmed,All_Rounder,7
Akash Maharaj Singh,Bowler,6
Shamar Joseph,Bowler,6.5
Prince Yadav,Bowler,6
Yuvraj Chaudhary,All_Rounder,5
Rajvardhan Hangargekar,Bowler,5.5
Arshin Kulkarni,All_Rounder,6
Matthew Breetzke,Batter,6.5
