Shashank Singh,Batter,7.5
Prabhsimran Singh,Wicketkeeper_Batter,7.5
Arshdeep Singh,Bowler,8.5
Shreyas Iyer,Wicketkeeper_Batter,8.5
Yuzvendra Chahal,Bowler,8.5
Marcus Stoinis,All_Rounder,8
Glenn Maxwell,All_Rounder,8.5
Nehal Wadhera,Batter,7.5
Harpreet Brar,All_Rounder,6.5
Vishnu Vinod,Wicketkeeper_Batter,6.5
Vijaykumar Vyshak,Bowler,7
Yash Thakur,Bowler,6.5
Marco Jansen,All_Rounder,8
Josh Inglis,Wicketkeeper_Batter,7.5
Lockie Ferguson,Bowler,7.5
Azmatullah Omarzai,All_Rounder,7.5
Harnoor Pannu,Batter,5
Kuldeep Sen,Bowler,6
Priyansh Arya,Batter,6.5
Aaron Hardie,All_Rounder,7
Suryash Shedge,All_Rounder,5.5
Musheer Khan,All_Rounder,6
Xavier Bartlett,Bowler,6.5
Pyla Avinash,Batter,5.5
Praveen Dubey,All_Rounder,6
